category,flow_id,src_ip,dst_ip,time_s,rtt_ms
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,0.6106,1.3039
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,0.7102,0.8383
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,0.732,1.4554
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,0.9865,0.5354
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,1.0895,1.219
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,1.2878,1.1736
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,1.599,1.7766
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,1.612,1.1188
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,1.6886,1.5343
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,1.9177,1.0462
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,2.1025,0.9393
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,2.1234,0.7156
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,2.1659,14.2154
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,2.2123,0.9692
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,2.215,1.005
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,2.3408,1.1377
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,2.5494,0.7481
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,2.7174,0.8812
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,2.7405,0.8558
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,2.8104,1.6025
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,2.8404,1.3485
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,3.1168,1.0316
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,3.1204,1.4308
LAN (Wired),192.168.1.197:60287->172.16.3.237:22,192.168.1.197,172.16.3.237,3.6951,1.4119
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,4.2696,11.6745
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,4.4712,7.9401
Campus WiFi,192.168.2.209:60016->172.16.2.25:80,192.168.2.209,172.16.2.25,4.7169,6.0816
