category,flow_id,src_ip,dst_ip,time_s,rtt_ms,method
HTTPS / Remote (Port 443),10.100.110.176:57181->104.18.26.48:443,10.100.110.176,104.18.26.48,1775128568.5163,14.7469,DATA-ACK
HTTPS / Remote (Port 443),104.18.26.48:443->10.100.110.176:57181,104.18.26.48,10.100.110.176,1775128568.525408,0.1411,DATA-ACK
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57203,17.248.153.80,10.100.110.176,1775128572.994911,11.5759,SYN-SYNACK
HTTPS / Remote (Port 443),10.100.110.176:57203->17.248.153.80:443,10.100.110.176,17.248.153.80,1775128573.008847,13.4799,DATA-ACK
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57203,17.248.153.80,10.100.110.176,1775128573.010478,1.153,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57203->17.248.153.80:443,10.100.110.176,17.248.153.80,1775128573.01771,7.2141,DATA-ACK
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57203,17.248.153.80,10.100.110.176,1775128573.017914,0.2019,DATA-ACK
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57203,17.248.153.80,10.100.110.176,1775128573.020433,0.766,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57203->17.248.153.80:443,10.100.110.176,17.248.153.80,1775128573.065712,47.7679,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57203->17.248.153.80:443,10.100.110.176,17.248.153.80,1775128573.07253,6.7341,DATA-ACK
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57203,17.248.153.80,10.100.110.176,1775128573.07379,0.1662,DATA-ACK
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57203,17.248.153.80,10.100.110.176,1775128573.075081,0.4702,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57203->17.248.153.80:443,10.100.110.176,17.248.153.80,1775128573.120766,46.9339,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57203->17.248.153.80:443,10.100.110.176,17.248.153.80,1775128573.127204,6.35,DATA-ACK
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57203,17.248.153.80,10.100.110.176,1775128573.134755,0.18,DATA-ACK
HTTPS / Remote (Port 443),17.248.239.66:443->10.100.110.176:57204,17.248.239.66,10.100.110.176,1775128573.15169,11.869,SYN-SYNACK
HTTPS / Remote (Port 443),10.100.110.176:57204->17.248.239.66:443,10.100.110.176,17.248.239.66,1775128573.160242,8.0271,DATA-ACK
HTTPS / Remote (Port 443),17.248.239.66:443->10.100.110.176:57204,17.248.239.66,10.100.110.176,1775128573.165052,0.2849,DATA-ACK
HTTPS / Remote (Port 443),17.248.239.66:443->10.100.110.176:57204,17.248.239.66,10.100.110.176,1775128573.165419,0.0381,DATA-ACK
HTTPS / Remote (Port 443),17.248.239.66:443->10.100.110.176:57204,17.248.239.66,10.100.110.176,1775128573.166815,0.216,DATA-ACK
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57203,17.248.153.80,10.100.110.176,1775128573.176826,0.1161,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57204->17.248.239.66:443,10.100.110.176,17.248.239.66,1775128573.181094,8.549,DATA-ACK
HTTPS / Remote (Port 443),17.248.239.66:443->10.100.110.176:57204,17.248.239.66,10.100.110.176,1775128573.181324,0.2291,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57204->17.248.239.66:443,10.100.110.176,17.248.239.66,1775128573.181828,8.3339,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57204->17.248.239.66:443,10.100.110.176,17.248.239.66,1775128573.181829,8.333,DATA-ACK
HTTPS / Remote (Port 443),17.248.239.66:443->10.100.110.176:57204,17.248.239.66,10.100.110.176,1775128573.181934,0.1051,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57204->17.248.239.66:443,10.100.110.176,17.248.239.66,1775128573.184648,11.1511,DATA-ACK
HTTPS / Remote (Port 443),31.13.66.51:443->10.100.110.176:56877,31.13.66.51,10.100.110.176,1775128573.189668,0.0989,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57204->17.248.239.66:443,10.100.110.176,17.248.239.66,1775128573.192184,10.8111,DATA-ACK
HTTPS / Remote (Port 443),17.248.239.66:443->10.100.110.176:57204,17.248.239.66,10.100.110.176,1775128573.548399,0.134,DATA-ACK
HTTPS / Remote (Port 443),17.248.239.66:443->10.100.110.176:57204,17.248.239.66,10.100.110.176,1775128573.549323,0.052,DATA-ACK
HTTPS / Remote (Port 443),17.248.239.66:443->10.100.110.176:57204,17.248.239.66,10.100.110.176,1775128573.551713,0.1049,DATA-ACK
HTTPS / Remote (Port 443),17.248.239.66:443->10.100.110.176:57204,17.248.239.66,10.100.110.176,1775128573.562808,9.3331,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:56877->31.13.66.51:443,10.100.110.176,31.13.66.51,1775128573.590318,297.3089,DATA-ACK
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57205,17.248.153.80,10.100.110.176,1775128573.856872,26.7861,SYN-SYNACK
HTTPS / Remote (Port 443),10.100.110.176:57205->17.248.153.80:443,10.100.110.176,17.248.153.80,1775128573.878651,21.1818,DATA-ACK
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57205,17.248.153.80,10.100.110.176,1775128573.879934,1.282,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57205->17.248.153.80:443,10.100.110.176,17.248.153.80,1775128573.899758,19.8061,DATA-ACK
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57205,17.248.153.80,10.100.110.176,1775128573.900504,0.1912,DATA-ACK
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57205,17.248.153.80,10.100.110.176,1775128573.901558,0.4389,DATA-ACK
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57205,17.248.153.80,10.100.110.176,1775128573.908172,5.306,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57205->17.248.153.80:443,10.100.110.176,17.248.153.80,1775128573.948144,47.6089,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57205->17.248.153.80:443,10.100.110.176,17.248.153.80,1775128573.957391,9.177,DATA-ACK
HTTPS / Remote (Port 443),17.248.153.80:443->10.100.110.176:57205,17.248.153.80,10.100.110.176,1775128574.019614,0.3071,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57205->17.248.153.80:443,10.100.110.176,17.248.153.80,1775128574.031788,12.0971,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.181:443->10.100.110.176:57206,17.8.135.181,10.100.110.176,1775128581.546749,9.8841,SYN-SYNACK
HTTPS / Remote (Port 443),10.100.110.176:57206->17.8.135.181:443,10.100.110.176,17.8.135.181,1775128581.555841,8.2381,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.181:443->10.100.110.176:57206,17.8.135.181,10.100.110.176,1775128581.55832,0.5109,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.181:443->10.100.110.176:57206,17.8.135.181,10.100.110.176,1775128581.55855,0.067,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.181:443->10.100.110.176:57206,17.8.135.181,10.100.110.176,1775128581.561027,0.4101,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57206->17.8.135.181:443,10.100.110.176,17.8.135.181,1775128581.574993,7.2968,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.181:443->10.100.110.176:57206,17.8.135.181,10.100.110.176,1775128581.575337,0.3409,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57206->17.8.135.181:443,10.100.110.176,17.8.135.181,1775128581.577185,7.6928,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.181:443->10.100.110.176:57206,17.8.135.181,10.100.110.176,1775128581.579296,0.108,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57206->17.8.135.181:443,10.100.110.176,17.8.135.181,1775128581.588487,13.068,DATA-ACK
HTTPS / Remote (Port 443),17.8.135.181:443->10.100.110.176:57206,17.8.135.181,10.100.110.176,1775128581.588775,0.288,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57141->104.18.26.48:443,10.100.110.176,104.18.26.48,1775128584.666262,9.4368,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57141->104.18.26.48:443,10.100.110.176,104.18.26.48,1775128584.666263,9.351,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57181->104.18.26.48:443,10.100.110.176,104.18.26.48,1775128584.809744,48.8038,DATA-ACK
HTTPS / Remote (Port 443),104.18.26.48:443->10.100.110.176:57141,104.18.26.48,10.100.110.176,1775128584.869285,0.2182,DATA-ACK
HTTPS / Remote (Port 443),104.18.26.48:443->10.100.110.176:57181,104.18.26.48,10.100.110.176,1775128584.99912,0.2921,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57182->151.101.1.91:443,10.100.110.176,151.101.1.91,1775128585.010446,8.1191,DATA-ACK
HTTPS / Remote (Port 443),151.101.1.91:443->10.100.110.176:57182,151.101.1.91,10.100.110.176,1775128585.010623,0.175,DATA-ACK
HTTPS / Remote (Port 443),104.18.26.48:443->10.100.110.176:57181,104.18.26.48,10.100.110.176,1775128585.010625,0.1688,DATA-ACK
HTTPS / Remote (Port 443),4.225.11.192:443->10.100.110.176:60641,4.225.11.192,10.100.110.176,1775128589.558636,0.0579,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57181->104.18.26.48:443,10.100.110.176,104.18.26.48,1775128589.761412,21.1599,DATA-ACK
HTTPS / Remote (Port 443),104.18.26.48:443->10.100.110.176:57181,104.18.26.48,10.100.110.176,1775128589.784327,0.164,DATA-ACK
HTTPS / Remote (Port 443),140.82.113.21:443->10.100.110.176:60645,140.82.113.21,10.100.110.176,1775128590.755098,0.1011,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57141->104.18.26.48:443,10.100.110.176,104.18.26.48,1775128591.864795,9.9199,DATA-ACK
HTTPS / Remote (Port 443),10.100.110.176:57141->104.18.26.48:443,10.100.110.176,104.18.26.48,1775128591.864796,9.819,DATA-ACK
HTTPS / Remote (Port 443),104.18.26.48:443->10.100.110.176:57141,104.18.26.48,10.100.110.176,1775128592.072292,0.123,DATA-ACK
