category,flow_id,src_ip,dst_ip,time_s,rtt_ms,method
HTTPS / Remote (Port 443),192.168.29.15:64196->151.101.1.91:443,192.168.29.15,151.101.1.91,1775289066.0394,0.4299,DATA-ACK
HTTPS / Remote (Port 443),151.101.1.91:443->192.168.29.15:64196,151.101.1.91,192.168.29.15,1775289066.0397,0.1419,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4334,6.13,SYN-SYNACK
HTTPS / Remote (Port 443),192.168.29.15:61464->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289070.44,5.9843,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4408,0.2308,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:61464->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289070.4495,5.547,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:61464->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289070.4501,5.8908,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4503,0.5512,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4505,0.4661,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.455,0.217,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4599,0.2129,DATA-ACK
HTTPS / Remote (Port 443),192.168.29.15:61464->20.207.73.82:443,192.168.29.15,20.207.73.82,1775289070.4622,11.456,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4644,0.2148,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4734,2.1369,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4736,0.5219,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4782,1.3988,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4784,0.4179,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4795,0.1118,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4841,3.221,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4842,1.7929,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4843,0.6499,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4844,0.488,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4892,2.8799,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4893,1.5268,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4894,0.385,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4903,0.1101,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4907,0.104,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4949,0.1011,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.4969,0.2692,DATA-ACK
HTTPS / Remote (Port 443),20.207.73.82:443->192.168.29.15:61464,20.207.73.82,192.168.29.15,1775289070.5018,0.1059,DATA-ACK
